p2,p3,p0,p1,p6,p7,p4,p5,p8,p9,img,p10,p11
,,Lot 332 - G57 Wine ,12 bts Pauillac Ch. Latour 1er Grand Cru Classé   75cl  OWC12 1988,,,,,,CHF 3 600 / 4 800 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103060/103060_l_1.jpg,€ 3 000 / 4 000 , 	 		 					 			 				Sold for CHF 3 450 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 206 - G57 Wine ,2 mgs Mazis-Chambertin  Hospices de Beaune  Cuvée  Madeleine Collignon  1.5L   1979,,,,,,CHF 400 / 520 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101963/101963_l_1.jpg,€ 330 / 430 , 	 		 					 			 				Sold for CHF 322 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 510 - G57 Wine ,"11 bts USA Napa Mondavi Reserve 75cl : 3x1983, 3x1984, 5x1986",,,,,,CHF 990 / 1 320 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104594/104594_l_1.jpg,€ 830 / 1 100 , 	 		 					 			 				Sold for CHF 1 495 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 511 - G57 Wine ,9 bts USA Alexander Valley Jordan  75cl   1987,,,,,,CHF 360 / 540 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104612/104612_l_1.jpg,€ 300 / 450 , 	 		 					 			 				Sold for CHF 380 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 101 - G57 Wine ,1 Bt Champagne  Taittinger  Collection Vieira da Silva  75cl  OC 1983,,,,,,CHF 140 / 280 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101047/101047_l_1.jpg,€ 120 / 230 , 	 		 					 			 				Sold for CHF 138 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 514 - G57 Wine ,1 bt Barolo Poderi Giovanni Scanavino    3.75L   1977,,,,,,CHF 100 / 140 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104638/104638_l_1.jpg,€ 80 / 120 , 	 		 					 			 				Sold for CHF 86 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 333 - G57 Wine ,12 bts Pauillac Ch. Mouton Rothschild 1er Grand Cru Classé   75cl   1989,,,,,,CHF 3 060 / 3 840 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103069/103069_l_1.jpg,€ 2 550 / 3 200 , 	 		 					 			 				Sold for CHF 2 530 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 158 - G57 Wine ,12 bts Chambertin Domaine Morin 1er Cru Clos de Bèze  75cl   1990,,,,,,CHF 1 200 / 1 560 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101543/101543_l_1.jpg,€ 1 000 / 1 300 , 	 		 					 			 				Sold for CHF 1 035 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 122 - G57 Wine ,12 bts Volnay Domaine Morin 1er Cru   75cl   1990,,,,,,CHF 480 / 720 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101226/101226_l_1.jpg,€ 400 / 600 , 	 		 					 			 				Sold for CHF 460 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 307 - G57 Wine ,"11 bts Saint-Julien Ch. Branaire Ducru  4ème Grand Cru Classé  37,5cl   1996",,,,,,CHF 275 / 385 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102831/102831_l_1.jpg,€ 230 / 320 , 	 		 					 			 				Sold for CHF 276 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
